date;prix;rendements
02/01/2015;5,621;
05/01/2015;5,424;-0,035047145
06/01/2015;5,329;-0,017514749
07/01/2015;5,224;-0,019703509
08/01/2015;5,453;0,043836141
09/01/2015;5,34;-0,020722538
12/01/2015;5,264;-0,01423221
13/01/2015;5,4;0,025835866
14/01/2015;5,311;-0,016481481
15/01/2015;5,42;0,020523442
16/01/2015;5,492;0,013284133
19/01/2015;5,635;0,026037873
20/01/2015;5,729;0,016681455
21/01/2015;5,764;0,006109269
22/01/2015;5,952;0,032616239
23/01/2015;5,902;-0,008400538
26/01/2015;5,903;0,000169434
27/01/2015;5,781;-0,020667457
28/01/2015;5,722;-0,010205847
29/01/2015;5,739;0,002970989
30/01/2015;5,652;-0,015159435
02/02/2015;5,675;0,004069356
03/02/2015;5,846;0,030132159
04/02/2015;5,786;-0,010263428
05/02/2015;5,765;-0,00362945
06/02/2015;5,852;0,015091067
09/02/2015;5,756;-0,016404648
10/02/2015;5,894;0,023974983
11/02/2015;5,813;-0,013742789
12/02/2015;5,933;0,020643386
13/02/2015;6,116;0,030844429
16/02/2015;6,085;-0,005068672
17/02/2015;6,183;0,016105177
18/02/2015;6,257;0,0119683
19/02/2015;6,381;0,019817804
20/02/2015;6,343;-0,005955179
23/02/2015;6,4;0,008986284
24/02/2015;6,405;0,00078125
25/02/2015;6,353;-0,008118657
26/02/2015;6,445;0,014481347
27/02/2015;6,47;0,003878976
02/03/2015;6,506;0,005564142
03/03/2015;6,373;-0,020442668
04/03/2015;6,418;0,007061039
05/03/2015;6,402;-0,002492988
06/03/2015;6,434;0,004998438
09/03/2015;6,429;-0,000777122
10/03/2015;6,358;-0,011043708
11/03/2015;6,531;0,027209814
12/03/2015;6,553;0,00336855
13/03/2015;6,62;0,010224325
16/03/2015;6,725;0,015861027
17/03/2015;6,64;-0,012639405
18/03/2015;6,561;-0,01189759
19/03/2015;6,602;0,006249047
20/03/2015;6,721;0,018024841
23/03/2015;6,724;0,000446362
24/03/2015;6,784;0,00892326
25/03/2015;6,728;-0,008254717
26/03/2015;6,647;-0,012039239
27/03/2015;6,851;0,030690537
30/03/2015;6,988;0,019997081
31/03/2015;6,961;-0,003863766
01/04/2015;7,084;0,017669875
02/04/2015;7,145;0,008610954
07/04/2015;7,239;0,013156053
08/04/2015;7,264;0,003453516
09/04/2015;7,397;0,018309471
10/04/2015;7,356;-0,005542788
13/04/2015;7,404;0,006525285
14/04/2015;7,413;0,001215559
15/04/2015;7,43;0,002293269
16/04/2015;7,35;-0,01076716
17/04/2015;7,168;-0,024761905
20/04/2015;7,25;0,011439732
21/04/2015;7,361;0,015310345
22/04/2015;7,445;0,011411493
23/04/2015;7,535;0,01208865
24/04/2015;7,646;0,014731254
27/04/2015;7,744;0,012817159
28/04/2015;7,662;-0,010588843
29/04/2015;7,278;-0,050117463
30/04/2015;7,386;0,014839242
04/05/2015;7,373;-0,001760087
05/05/2015;7,122;-0,03404313
06/05/2015;7,13;0,00112328
07/05/2015;7,119;-0,001542777
08/05/2015;7,25;0,018401461
11/05/2015;7,22;-0,004137931
12/05/2015;6,98;-0,033240997
13/05/2015;7,034;0,00773639
14/05/2015;7,15;0,016491328
15/05/2015;7,137;-0,001818182
18/05/2015;7,075;-0,008687123
19/05/2015;7,207;0,018657244
20/05/2015;7,248;0,005688914
21/05/2015;7,247;-0,000137969
22/05/2015;6,964;-0,039050642
25/05/2015;6,861;-0,01479035
26/05/2015;6,822;-0,005684303
27/05/2015;6,96;0,020228672
28/05/2015;6,923;-0,005316092
29/05/2015;6,826;-0,014011267
01/06/2015;6,779;-0,006885438
02/06/2015;6,762;-0,002507745
03/06/2015;6,734;-0,004140787
04/06/2015;6,723;-0,001633502
05/06/2015;6,623;-0,014874312
08/06/2015;6,483;-0,021138457
09/06/2015;6,492;0,001388246
10/06/2015;6,608;0,017868145
11/06/2015;6,583;-0,003783293
12/06/2015;6,497;-0,013063953
15/06/2015;6,335;-0,024934585
16/06/2015;6,423;0,013891081
17/06/2015;6,305;-0,018371478
18/06/2015;6,318;0,002061856
19/06/2015;6,437;0,018835074
22/06/2015;6,722;0,044275284
23/06/2015;6,791;0,010264802
24/06/2015;6,744;-0,006920925
25/06/2015;6,768;0,003558719
26/06/2015;6,797;0,00428487
29/06/2015;6,469;-0,048256584
30/06/2015;6,455;-0,002164168
01/07/2015;6,551;0,014872192
02/07/2015;6,44;-0,016943978
03/07/2015;6,381;-0,009161491
06/07/2015;6,132;-0,039022097
07/07/2015;6,121;-0,001793868
08/07/2015;6,171;0,0081686
09/07/2015;6,476;0,049424729
10/07/2015;6,716;0,037059914
13/07/2015;6,9;0,02739726
14/07/2015;6,909;0,001304348
15/07/2015;6,989;0,0115791
